02 Oct 2015 19:03:29 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 19:03:29 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 19:03:29 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:03:29 | ABUNDANT |    archive |    DEBUG | Found 3 versions
02 Oct 2015 19:03:53 | ABUNDANT |    version |    DEBUG | Migrating version 52be935a-1aa9-4d61-89c3-2d3baa7c4598 to 9102c944-932f-4769-ace0-4130b3b3f6a3...
02 Oct 2015 19:03:53 | ABUNDANT |    version |     INFO | Copied 0 file
02 Oct 2015 19:03:53 | ABUNDANT |    version |     INFO | Version 9102c944-932f-4769-ace0-4130b3b3f6a3 is now base version
02 Oct 2015 19:03:53 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 19:03:53 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:03:53 | ABUNDANT |    archive |    DEBUG | Found 2 versions
02 Oct 2015 19:03:53 | ABUNDANT |    version |     INFO | Removed version 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 19:03:53 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 19:03:53 | ABUNDANT |    version |     INFO | Migrated 52be935a-1aa9-4d61-89c3-2d3baa7c4598 to 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 19:03:53 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 19:03:53 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:03:53 | ABUNDANT |    archive |    DEBUG | Found 2 versions
02 Oct 2015 19:04:09 | ABUNDANT |    version |    DEBUG | Creating non-base version: be1cc1ec-d97c-4ff4-b455-bb5611f9d186
02 Oct 2015 19:04:09 | ABUNDANT |    version |     INFO | Added version record: be1cc1ec-d97c-4ff4-b455-bb5611f9d186
02 Oct 2015 19:04:09 | ABUNDANT |    version |    DEBUG | Version record found: be1cc1ec-d97c-4ff4-b455-bb5611f9d186
02 Oct 2015 19:04:09 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 19:04:09 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:04:09 | ABUNDANT |    version |    DEBUG | Version record found: be1cc1ec-d97c-4ff4-b455-bb5611f9d186
02 Oct 2015 19:04:09 | ABUNDANT |    archive |    DEBUG | Found 3 versions
02 Oct 2015 19:04:09 | ABUNDANT |    version |    DEBUG | Copying files...
02 Oct 2015 19:04:10 | ABUNDANT |    version |     INFO | Copied 0 file
